"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 10 14:38:28 GMT 2022","Thu Nov 10 14:38:28 GMT 2022","2","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"failed","Thu Nov 10 14:38:33 GMT 2022","Thu Nov 10 14:38:33 GMT 2022","29","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest","Creating new issue for authorized user",""
"passed","Thu Nov 10 14:38:28 GMT 2022","Thu Nov 10 14:38:28 GMT 2022","8","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Thu Nov 10 14:38:31 GMT 2022","Thu Nov 10 14:38:33 GMT 2022","2005","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest","Deleting existing issue for authorized user",""
"passed","Thu Nov 10 14:38:30 GMT 2022","Thu Nov 10 14:38:31 GMT 2022","1006","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCloseIssue","Closing new issue for authorized user",""
"passed","Thu Nov 10 14:38:28 GMT 2022","Thu Nov 10 14:38:28 GMT 2022","3","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Thu Nov 10 14:38:28 GMT 2022","Thu Nov 10 14:38:28 GMT 2022","99","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Thu Nov 10 14:38:29 GMT 2022","Thu Nov 10 14:38:30 GMT 2022","1032","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCreateIssue","Creating new issue authorized user",""
